City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,noumea,-22.2763,166.4572,20.56,99,100,5.43,NC,1690381789
113,morristown,36.214,-83.2949,27.8,70,0,0.45,US,1690381978
114,george town,5.4112,100.3354,28.97,84,20,1.54,MY,1690381712
115,egilsstadir,65.2653,-14.3948,9.95,71,75,5.14,IS,1690381979
116,gulf shores,30.246,-87.7008,31.81,63,0,1.79,US,1690381979
117,nemuro,43.3236,145.575,17.04,98,80,0.68,JP,1690381979
118,kayes,14.0,-11.0,34.98,43,11,2.29,ML,1690381979
119,dawei,14.0833,98.2,25.45,90,54,0.68,MM,1690381803
120,avarua,-21.2078,-159.775,17.03,100,2,1.54,CK,1690381980
121,severo-yeniseyskiy,60.3725,93.0408,15.1,91,90,0.78,RU,1690381980
122,pemangkat,1.1667,108.9667,27.1,77,100,5.34,ID,1690381980
123,suncho corral,-27.9336,-63.4294,17.8,52,7,6.29,AR,1690381980
124,xianyang,34.3378,108.7026,29.58,58,0,5.0,CN,1690381981
125,ulsan,35.5372,129.3167,24.71,92,23,1.87,KR,1690381981
126,udachny,66.4167,112.4,19.14,63,100,2.28,RU,1690381981
127,hamilton,39.1834,-84.5333,29.86,74,0,5.14,US,1690381948
128,villa sandino,12.0483,-84.9936,27.65,86,100,6.16,NI,1690381982
129,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,0,2.0,RU,1690381858
130,limon,10.0,-83.0333,23.94,94,100,1.54,CR,1690381982
131,wailua homesteads,22.0669,-159.378,25.44,88,100,6.69,US,1690381982
132,jingmen,31.0336,112.2047,25.75,86,70,2.21,CN,1690381983
133,uturoa,-16.7333,-151.4333,25.47,85,26,4.5,PF,1690381983
134,midland,31.9974,-102.0779,29.47,54,0,6.17,US,1690381927
135,tofol,5.3248,163.0078,28.35,75,100,4.37,FM,1690381984
136,susangerd,31.5608,48.1831,45.96,6,2,6.56,IR,1690381984
137,howrah,22.5892,88.3103,28.0,94,40,2.57,IN,1690381985
138,silifke,36.3778,33.9344,33.72,37,0,2.31,TR,1690381985
139,luderitz,-26.6481,15.1594,15.79,56,0,6.21,NA,1690381986
140,cabo san lucas,22.8909,-109.9124,29.73,71,100,1.79,MX,1690381789
141,vila do maio,15.1333,-23.2167,31.44,86,78,3.99,CV,1690381986
142,tazovsky,67.4667,78.7,19.8,66,75,4.38,RU,1690381986
143,shar'ya,58.3686,45.5144,20.8,85,96,3.44,RU,1690381987
144,isafjordur,66.0755,-23.124,10.02,71,40,7.72,IS,1690381987
145,lebu,-37.6167,-73.65,8.8,83,100,2.89,CL,1690381987
146,alesund,62.4723,6.1549,19.95,83,40,3.6,NO,1690381988
147,east london,-33.0153,27.9116,20.52,64,0,1.54,ZA,1690381988
148,kodiak,57.79,-152.4072,11.73,94,100,1.54,US,1690381988
149,kisangani,0.5167,25.2,28.25,63,95,1.57,CD,1690381989
150,sarangani,5.4033,125.4636,27.96,79,98,3.51,PH,1690381989
151,yichang,30.7144,111.2847,25.29,92,100,1.42,CN,1690381989
152,keflavik,64.0049,-22.5624,16.95,82,100,2.57,IS,1690381989
153,ulladulla,-35.35,150.4667,9.07,80,14,2.33,AU,1690381990
154,alindao,5.0267,21.2088,28.78,66,77,2.24,CF,1690381990
155,port mathurin,-19.6833,63.4167,23.68,80,8,5.32,MU,1690381990
156,norderney,53.7,7.15,20.1,68,49,7.92,DE,1690381990
157,fort polk south,31.0511,-93.2158,28.78,78,0,2.06,US,1690381990
158,puerto ayora,-0.7393,-90.3518,26.98,94,45,3.58,EC,1690381897
159,charlottesville,38.0293,-78.4767,28.4,73,0,1.79,US,1690381991
160,dour,50.3958,3.7779,21.94,52,98,3.47,BE,1690381991
161,pointe-noire,-4.7761,11.8635,25.04,73,75,4.63,CG,1690381991
162,port lincoln,-34.7333,135.8667,12.07,62,0,4.35,AU,1690381992
163,port alfred,-33.5906,26.891,21.21,51,49,0.45,ZA,1690381992
164,island harbour,50.724,-1.2758,19.4,75,100,2.24,GB,1690381992
165,stettler,52.3168,-112.7186,12.86,88,56,3.09,CA,1690381992
166,cestos city,5.46,-9.5828,26.46,82,84,5.09,LR,1690381992
167,wakimachi,34.0667,134.15,28.9,88,31,1.04,JP,1690381993
168,el obeid,13.1842,30.2167,26.28,67,100,7.31,SD,1690381993
169,kerikeri,-35.2268,173.9474,5.51,88,18,2.29,NZ,1690381993
170,nassau,40.7507,-73.5829,28.72,66,0,3.09,US,1690381917
171,st. john's,47.5649,-52.7093,29.04,52,40,7.2,CA,1690381819
172,rongelap,11.1635,166.8941,28.23,79,100,7.04,MH,1690381994
173,hawaiian paradise park,19.5933,-154.9731,22.8,97,100,2.57,US,1690381994
174,sur,22.5667,59.5289,31.08,66,100,4.69,OM,1690381994
175,misratah,32.3754,15.0925,32.97,59,0,6.82,LY,1690381994
176,pisco,-13.7,-76.2167,19.03,72,100,3.6,PE,1690381995
177,kousseri,12.0769,15.0306,35.98,46,75,3.6,CM,1690381995
178,kailua-kona,19.6406,-155.9956,25.98,87,100,3.09,US,1690381995
179,okhotsk,59.3833,143.3,13.74,97,69,2.66,RU,1690381995
180,yuncheng,35.0231,110.9928,27.15,62,100,2.32,CN,1690381995
181,merizo village,13.2658,144.6691,28.31,94,100,8.73,GU,1690381996
182,lazaro cardenas,17.9583,-102.2,29.17,62,45,1.75,MX,1690381830
183,valle nacional,17.7833,-96.3167,27.07,73,87,0.84,MX,1690381996
184,novodvinsk,64.4165,40.8122,20.17,55,94,2.49,RU,1690381996
185,arraial do cabo,-22.9661,-42.0278,24.92,65,100,9.77,BR,1690381997
186,ulaangom,49.9811,92.0667,19.54,45,79,1.69,MN,1690381997
187,wellington,-41.2866,174.7756,6.59,91,75,6.17,NZ,1690381730
188,buala,-8.145,159.5921,26.48,84,100,2.35,SB,1690381997
189,saltillo,25.4167,-101.0,23.49,53,0,4.12,MX,1690381806
190,igrim,63.1906,64.4162,17.74,89,100,3.03,RU,1690381998
191,mimizan,44.2006,-1.2289,26.37,66,40,4.56,FR,1690381998
192,valdivia,-39.8142,-73.2459,7.05,96,100,0.63,CL,1690381934
